CalendarYear,CalendarPeriod,CalendarWeek,ServiceGroup4,ProdGrp1,OpJourneys on selDates,OpMiles on selDates,
2016,2016/P05,2016/W20,Scenic,Off-Peak,"35,240","1,512,563",
2016,2016/P05,2016/W20,West Suburban,Off-Peak,"488,865","5,638,549",
2016,2016/P05,2016/W20,East Suburban,Peak,"68,014","1,325,112",
2016,2016/P05,2016/W20,eXpress,Peak,"21,413","637,488",
2016,2016/P05,2016/W20,Inter7City,Peak,"60,745","3,281,738",
2016,2016/P05,2016/W20,Scenic,Peak,"24,584","892,261",
2016,2016/P05,2016/W20,West Suburban,Peak,"279,988","3,791,466",
2016,2016/P05,2016/W21,East Suburban,Commuter,"67,265","1,158,897",
2016,2016/P05,2016/W21,eXpress,Commuter,"24,696","616,153",
2016,2016/P05,2016/W21,Inter7City,Commuter,"25,430","679,037",
2016,2016/P05,2016/W21,Scenic,Commuter,"9,301","171,988",
2016,2016/P05,2016/W21,West Suburban,Commuter,"286,967","3,263,092",
2016,2016/P05,2016/W21,East Suburban,Off-Peak,"82,201","1,704,755",
2016,2016/P05,2016/W21,eXpress,Off-Peak,"36,071","1,192,483",
2016,2016/P05,2016/W21,Inter7City,Off-Peak,"83,741","5,597,315",
2016,2016/P05,2016/W21,Scenic,Off-Peak,"39,448","1,795,146",
2016,2016/P05,2016/W21,West Suburban,Off-Peak,"521,169","6,263,860",
2016,2016/P05,2016/W21,East Suburban,Peak,"70,361","1,374,007",
2016,2016/P05,2016/W21,eXpress,Peak,"21,331","634,899",
2016,2016/P05,2016/W21,Inter7City,Peak,"62,414","3,353,248",
2016,2016/P05,2016/W21,Scenic,Peak,"25,758","940,950",
2016,2016/P05,2016/W21,West Suburban,Peak,"281,070","3,868,608",
2016,2016/P06,2016/W22,East Suburban,Commuter,"57,794","999,632",
2016,2016/P06,2016/W22,eXpress,Commuter,"21,209","531,597",
2016,2016/P06,2016/W22,Inter7City,Commuter,"22,356","594,216",
2016,2016/P06,2016/W22,Scenic,Commuter,"8,077","147,748",
2016,2016/P06,2016/W22,West Suburban,Commuter,"253,039","2,860,004",
